Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Image Src,Image Alt Text,Status
l-artichaut-fumé,L'Artichaut Fumé,"Smoked artichoke hearts, hazelnut foam, and black truffle shavings.","Maison Étoile",Appetizer,"Entrée, Vegan, Gluten-Free",true,Title,Default,,,200,shopify,100,deny,manual,12.00,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?q=80&w=1000&auto=format&fit=crop,,active
les-huîtres-perle,Les Huîtres Perle,"Six fresh Brittany oysters served with cucumber mignonette and lemon zest.","Maison Étoile",Appetizer,"Entrée, Seafood",true,Title,Default,,,300,shopify,50,deny,manual,28.00,https://images.unsplash.com/photo-1541529086526-db283c563270?q=80&w=1000&auto=format&fit=crop,,active
le-foie-gras-royal,Le Foie Gras Royal,"Pan-seared duck foie gras, mission fig jam, and toasted brioche.","Maison Étoile",Appetizer,"Entrée, Signature",true,Title,Default,,,150,shopify,30,deny,manual,35.00,https://images.unsplash.com/photo-1628624747186-a941c476b7ef?q=80&w=1000&auto=format&fit=crop,,active
truffle-risotto,Truffle Risotto,"Creamy Arborio rice infused with black summer truffles, finished with 24-month aged Parmigiano-Reggiano and a touch of gold leaf.","Maison Étoile",Main Course,"Gourmet, Truffle, Italian",true,Title,Default,,,400,shopify,40,deny,manual,45.00,https://images.unsplash.com/photo-1476124369491-e7addf5db371?q=80&w=1000&auto=format&fit=crop,,active
wagyu-beef-steak,Wagyu Beef Steak,"A5 Miyazaki Wagyu striploin, pan-seared to perfection. Served with a reduction of red wine and shallots, and smoked sea salt.","Maison Étoile",Main Course,"Wagyu, Steak, Premium",true,Title,Default,,,350,shopify,10,deny,manual,120.00,https://images.unsplash.com/photo-1544025162-d4911d9539d0?q=80&w=1000&auto=format&fit=crop,,active
lobster-thermidor,Lobster Thermidor,"Fresh Atlantic lobster meat cooked in a rich brandy cream sauce, stuffed back into the shell and gratinated with Gruyère cheese.","Maison Étoile",Main Course,"Seafood, Lobster, French",true,Title,Default,,,800,shopify,15,deny,manual,85.00,https://images.unsplash.com/photo-1553163412-463878703a31?q=80&w=1000&auto=format&fit=crop,,active
wagyu-a5-rossini,Wagyu A5 Rossini,"Japanese A5 Wagyu beef topped with foie gras and Perigord truffle sauce.","Maison Étoile",Main Course,"Plat, Luxury",true,Title,Default,,,350,shopify,10,deny,manual,125.00,https://images.unsplash.com/photo-1546241072-48010ad28c2c?q=80&w=1000&auto=format&fit=crop,,active
le-bar-en-croûte,Le Bar en Croûte,"Salt-crusted sea bass served with a lemon-butter sauce and seasonal greens.","Maison Étoile",Main Course,"Plat, Seafood",true,Title,Default,,,600,shopify,20,deny,manual,48.00,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?q=80&w=1000&auto=format&fit=crop,,active
le-canard-à-l-orange,Le Canard à l'Orange,"Roasted duck breast, spiced orange reduction, and honey-glazed carrots.","Maison Étoile",Main Course,"Plat, Classic",true,Title,Default,,,500,shopify,25,deny,manual,52.00,https://images.unsplash.com/photo-1514516348920-f319999a5e94?q=80&w=1000&auto=format&fit=crop,,active
chocolate-souffle,Chocolate Soufflé,"A delicate 70% dark Valrhona chocolate soufflé, served warm with a side of Madagascar vanilla bean crème anglaise.","Maison Étoile",Dessert,"Chocolate, Dessert, French",true,Title,Default,,,200,shopify,20,deny,manual,18.00,https://images.unsplash.com/photo-1579954115545-a95591f28be0?q=80&w=1000&auto=format&fit=crop,,active
